tissue_name	sample_size
Adipose_Subcutaneous	581
Adipose_Visceral_Omentum	469
Adrenal_Gland	233
Artery_Aorta	387
Artery_Coronary	213
Artery_Tibial	584
Brain_Amygdala	129
Brain_Anterior_cingulate_cortex_BA24	147
Brain_Caudate_basal_ganglia	194
Brain_Cerebellar_Hemisphere	175
Brain_Cerebellum	209
Brain_Cortex	205
Brain_Frontal_Cortex_BA9	175
Brain_Hippocampus	165
Brain_Hypothalamus	170
Brain_Nucleus_accumbens_basal_ganglia	202
Brain_Putamen_basal_ganglia	170
Brain_Spinal_cord_cervical_c-1	126
Brain_Substantia_nigra	114
Breast_Mammary_Tissue	396
Cells_Cultured_fibroblasts	483
Cells_EBV-transformed_lymphocytes	147
Colon_Sigmoid	318
Colon_Transverse	368
Esophagus_Gastroesophageal_Junction	330
Esophagus_Mucosa	497
Esophagus_Muscularis	465
Heart_Atrial_Appendage	372
Heart_Left_Ventricle	386
Kidney_Cortex	73
Liver	208
Lung	515
Minor_Salivary_Gland	144
Muscle_Skeletal	706
Nerve_Tibial	532
Ovary	167
Pancreas	305
Pituitary	237
Prostate	221
Skin_Not_Sun_Exposed_Suprapubic	517
Skin_Sun_Exposed_Lower_leg	605
Small_Intestine_Terminal_Ileum	174
Spleen	227
Stomach	324
Testis	322
Thyroid	574
Uterus	129
Vagina	141
Whole_Blood	670
Bladder	21
Cervix_Ectocervix	9
Cervix_Endocervix	10
Fallopian_Tube	8
Kidney_Medulla	4